,Year,ACCIDENT_TYPE,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,ALCOHOL_RELATED,TOTAL_PERSONS,INJ_OR_FATAL,DRIVER,OLD_DRIVER,YOUNG_DRIVER
0,2013,Collision with a fixed object,Cross intersection,Other injury accident,100 km/hr,No,5,5,4,0,1
1,2013,Collision with a fixed object,Cross intersection,Other injury accident,100 km/hr,Yes,1,1,1,0,0
2,2013,Collision with a fixed object,Cross intersection,Other injury accident,40 km/hr,No,4,3,1,0,0
3,2013,Collision with a fixed object,Cross intersection,Other injury accident,50 km/hr,No,15,10,8,1,2
4,2013,Collision with a fixed object,Cross intersection,Other injury accident,60 km/hr,No,28,22,21,1,3
5,2013,Collision with a fixed object,Cross intersection,Other injury accident,60 km/hr,Yes,4,4,4,0,2
6,2013,Collision with a fixed object,Cross intersection,Other injury accident,70 km/hr,No,14,6,7,0,5
7,2013,Collision with a fixed object,Cross intersection,Other injury accident,80 km/hr,No,9,8,6,0,2
8,2013,Collision with a fixed object,Cross intersection,Other injury accident,Not known,No,1,1,0,0,0
9,2013,Collision with a fixed object,Cross intersection,Serious injury accident,100 km/hr,No,3,3,2,0,2
10,2013,Collision with a fixed object,Cross intersection,Serious injury accident,100 km/hr,Yes,1,1,1,0,0
11,2013,Collision with a fixed object,Cross intersection,Serious injury accident,50 km/hr,No,2,2,2,0,0
12,2013,Collision with a fixed object,Cross intersection,Serious injury accident,50 km/hr,Yes,1,1,1,0,1
13,2013,Collision with a fixed object,Cross intersection,Serious injury accident,60 km/hr,No,16,13,10,0,2
14,2013,Collision with a fixed object,Cross intersection,Serious injury accident,60 km/hr,Yes,2,2,2,0,1
15,2013,Collision with a fixed object,Cross intersection,Serious injury accident,70 km/hr,No,5,3,3,0,1
16,2013,Collision with a fixed object,Cross intersection,Serious injury accident,70 km/hr,Yes,1,1,1,0,0
17,2013,Collision with a fixed object,Cross intersection,Serious injury accident,80 km/hr,No,13,10,8,1,2
18,2013,Collision with a fixed object,Cross intersection,Serious injury accident,80 km/hr,Yes,1,1,1,0,0
19,2013,Collision with a fixed object,Cross intersection,Serious injury accident,Not known,No,1,1,0,0,0
20,2013,Collision with a fixed object,Dead end,Other injury accident,100 km/hr,No,2,2,1,0,1
21,2013,Collision with a fixed object,Dead end,Other injury accident,50 km/hr,No,1,1,1,0,1
22,2013,Collision with a fixed object,Dead end,Serious injury accident,50 km/hr,No,2,2,1,0,0
23,2013,Collision with a fixed object,Dead end,Serious injury accident,Not known,No,1,1,1,0,0
24,2013,Collision with a fixed object,Multiple intersection,Other injury accident,100 km/hr,No,1,1,1,0,0
25,2013,Collision with a fixed object,Multiple intersection,Other injury accident,100 km/hr,Yes,1,1,1,0,0
26,2013,Collision with a fixed object,Multiple intersection,Other injury accident,50 km/hr,No,2,2,2,0,1
27,2013,Collision with a fixed object,Multiple intersection,Other injury accident,60 km/hr,No,1,1,0,0,0
28,2013,Collision with a fixed object,Multiple intersection,Other injury accident,70 km/hr,No,4,2,2,0,2
29,2013,Collision with a fixed object,Multiple intersection,Other injury accident,80 km/hr,No,1,1,1,0,1
30,2013,Collision with a fixed object,Multiple intersection,Serious injury accident,50 km/hr,No,1,1,1,0,0
31,2013,Collision with a fixed object,Multiple intersection,Serious injury accident,80 km/hr,Yes,1,1,1,0,0
32,2013,Collision with a fixed object,Not at intersection,Fatal accident,100 km/hr,No,24,23,14,2,3
33,2013,Collision with a fixed object,Not at intersection,Fatal accident,100 km/hr,Yes,6,6,6,0,0
34,2013,Collision with a fixed object,Not at intersection,Fatal accident,110 km/hr,Yes,3,2,3,0,0
35,2013,Collision with a fixed object,Not at intersection,Fatal accident,50 km/hr,No,1,1,1,0,1
36,2013,Collision with a fixed object,Not at intersection,Fatal accident,60 km/hr,No,10,9,4,1,0
37,2013,Collision with a fixed object,Not at intersection,Fatal accident,60 km/hr,Yes,1,1,1,0,1
38,2013,Collision with a fixed object,Not at intersection,Fatal accident,70 km/hr,Yes,2,2,1,0,0
39,2013,Collision with a fixed object,Not at intersection,Fatal accident,80 km/hr,No,1,1,1,0,1
40,2013,Collision with a fixed object,Not at intersection,Fatal accident,80 km/hr,Yes,7,7,3,0,1
41,2013,Collision with a fixed object,Not at intersection,Fatal accident,90 km/hr,No,1,1,1,0,0
42,2013,Collision with a fixed object,Not at intersection,Other injury accident,100 km/hr,No,205,172,144,3,50
43,2013,Collision with a fixed object,Not at intersection,Other injury accident,100 km/hr,Yes,5,5,5,0,2
44,2013,Collision with a fixed object,Not at intersection,Other injury accident,110 km/hr,No,22,17,14,2,2
45,2013,Collision with a fixed object,Not at intersection,Other injury accident,110 km/hr,Yes,1,1,1,0,0
46,2013,Collision with a fixed object,Not at intersection,Other injury accident,40 km/hr,No,7,5,4,0,2
47,2013,Collision with a fixed object,Not at intersection,Other injury accident,50 km/hr,No,73,58,50,5,15
48,2013,Collision with a fixed object,Not at intersection,Other injury accident,50 km/hr,Yes,6,6,4,0,2
49,2013,Collision with a fixed object,Not at intersection,Other injury accident,60 km/hr,No,117,91,78,3,24
50,2013,Collision with a fixed object,Not at intersection,Other injury accident,60 km/hr,Yes,3,3,3,0,0
51,2013,Collision with a fixed object,Not at intersection,Other injury accident,70 km/hr,No,39,28,23,0,10
52,2013,Collision with a fixed object,Not at intersection,Other injury accident,70 km/hr,Yes,1,1,1,0,1
53,2013,Collision with a fixed object,Not at intersection,Other injury accident,80 km/hr,No,94,66,58,0,23
54,2013,Collision with a fixed object,Not at intersection,Other injury accident,80 km/hr,Yes,7,7,7,0,3
